date,open,high,low,close,volume
9/21/2023,86.32067238,86.65210896,84.03744336,85.3631897,523429
9/22/2023,85.60256927,86.19178835,84.46095115,85.58415222,472697
9/25/2023,85.14223385,85.6393817,84.00061584,85.62097168,346705
9/26/2023,85.52891182,85.52891182,82.60122655,82.69329071,506163
9/27/2023,82.69329354,83.30092967,80.63102677,80.96246338,478131
9/28/2023,80.57578262,81.33072,79.72878107,80.8888092,572613
9/29/2023,81.66215498,83.06155553,81.22024419,81.93835449,463788
10/2/2023,82.58280969,82.69329089,81.84628938,82.45391846,255367
10/3/2023,82.21455337,83.0063178,81.90152679,82.5091629,329217
10/4/2023,81.1281784,82.87741852,80.81515183,82.87741852,309426
10/5/2023,83.04313938,83.07996645,81.16500797,81.23865509,272044
10/6/2023,81.44119939,82.50916333,81.40437232,82.14089966,297685
10/9/2023,81.93835588,82.04883709,80.87039191,81.0177002,314420
10/10/2023,81.77263558,83.11679201,81.68057142,82.54598999,459568
10/11/2023,82.34344393,85.93399536,80.7783251,82.96949005,815784
10/12/2023,83.96379234,84.332056,82.9878996,83.22727203,399611
10/13/2023,83.15361739,84.71872917,82.98789909,83.41139984,459461
10/16/2023,83.77966369,83.98220905,82.36185315,83.17202759,254449
10/17/2023,83.17202625,84.18475307,82.87741673,84.09268188,217472
10/18/2023,84.05586164,85.16064559,83.66918094,84.29522705,355974
10/19/2023,83.33775269,85.32637242,82.96949603,84.05587006,419676
10/20/2023,83.37457514,83.50346637,81.64374501,82.04883575,466606
10/23/2023,82.61963104,82.84059344,80.02338255,81.03610229,382432
10/24/2023,81.23864952,81.31230365,79.67353778,80.00497437,471066
10/25/2023,81.51484913,82.12247818,78.51350985,79.65512085,543251
10/26/2023,78.25573143,78.25573143,76.10140055,76.89315796,656878
10/27/2023,76.54331376,77.50079653,75.38328562,75.60424805,562688
10/30/2023,75.93568303,76.96681289,75.6410735,76.65379333,443560
10/31/2023,77.27984038,77.29825041,75.40170194,75.99092102,401291
